target,model,target_type,rows,status,accuracy,balanced_accuracy,brier_score,f1,log_loss,roc_auc,folds,mae,rmse
home_win,xgboost,classification,924,ok,0.6246753246753247,0.6215672716864384,0.2746314525604248,0.6641497683388318,0.8900987267494201,0.6781274894359243,5.0,,
home_win,lightgbm,classification,924,ok,0.6181818181818182,0.6148161101769274,0.2626364064671766,0.6571888908126166,0.8160492067891321,0.6778526132593884,5.0,,
home_win,catboost,classification,924,ok,0.6545454545454545,0.6474988394274155,0.21957511457142304,0.699613728465777,0.6311754812942278,0.706497115846957,5.0,,
home_win,logistic_regression,classification,924,ok,0.551948051948052,0.5505349551655335,0.34518506404734256,0.5812490896788597,1.5223147450302317,0.5749159235697499,5.0,,
home_win,extra_trees,classification,924,ok,0.6649350649350649,0.6603877921394066,0.2197452922077922,0.6992929152317628,0.6738198824609756,0.7041132686574105,5.0,,
home_score,xgboost,regression,924,ok,,,,,,,5.0,9.868763039328835,12.481043628682045
home_score,lightgbm,regression,924,ok,,,,,,,5.0,9.476670895723652,12.004651073747414
home_score,catboost,regression,924,ok,,,,,,,5.0,9.19214492112745,11.773811761939914
home_score,ridge,regression,924,ok,,,,,,,5.0,13.324486807402678,18.184553257729956
home_score,extra_trees,regression,924,ok,,,,,,,5.0,9.147525974025973,11.704346236302424
home_score,hist_gb,regression,924,ok,,,,,,,5.0,9.443212750918756,12.018298544243141
away_score,xgboost,regression,924,ok,,,,,,,5.0,9.90307539407309,12.760313786368679
away_score,lightgbm,regression,924,ok,,,,,,,5.0,9.658487900456937,12.437536390429639
away_score,catboost,regression,924,ok,,,,,,,5.0,9.539522704526433,12.384326469834763
away_score,ridge,regression,924,ok,,,,,,,5.0,19.601501359114756,41.8998657081847
away_score,extra_trees,regression,924,ok,,,,,,,5.0,9.38031168831169,12.097110425545733
away_score,hist_gb,regression,924,ok,,,,,,,5.0,9.703506745034858,12.429944155540559
full_margin,xgboost,regression,924,ok,,,,,,,5.0,11.409856478023258,14.519036080533937
full_margin,lightgbm,regression,924,ok,,,,,,,5.0,11.177600653191362,14.230965178736406
full_margin,catboost,regression,924,ok,,,,,,,5.0,10.921988438194216,14.056692311397708
full_margin,ridge,regression,924,ok,,,,,,,5.0,21.77304485958569,45.94991540558747
full_margin,extra_trees,regression,924,ok,,,,,,,5.0,10.814629870129869,13.894100380459852
full_margin,hist_gb,regression,924,ok,,,,,,,5.0,11.480107574807096,14.38444645422732
full_total,xgboost,regression,924,ok,,,,,,,5.0,15.804688768262988,20.06306020881431
full_total,lightgbm,regression,924,ok,,,,,,,5.0,15.665327317094846,19.81944116986109
